X,Y
0.98731,-2.4243
1.2495,-2.2901
1.5424,-2.1403
1.8661,-1.9752
2.2205,-1.7947
2.6057,-1.5992
3.0216,-1.39
3.4682,-1.1679
3.9454,-0.93339
4.4532,-0.68723
4.9916,-0.43332
5.5606,-0.17391
6.1601,0.09265
6.79,0.35901
7.4505,0.62334
8.1413,0.88732
8.8625,1.1424
9.614,1.3912
10.396,1.6299
11.208,1.8553
12.05,2.0714
12.922,2.2698
13.825,2.4597
14.757,2.6308
15.719,2.7928
16.711,2.9368
17.733,3.073
18.785,3.1927
19.867,3.304
20.978,3.4019
22.119,3.4931
23.289,3.5749
24.489,3.6489
25.718,3.7174
26.976,3.7774
28.263,3.8341
29.58,3.8841
30.926,3.929
32.3,3.9706
33.704,4.0071
35.136,4.0405
36.597,4.071
38.086,4.0976
39.604,4.1222
41.151,4.1446
42.726,4.1642
44.329,4.1822
45.96,4.199
47.619,4.2138
49.306,4.227
51.021,4.2399
52.764,4.2514
54.534,4.2616
56.332,4.2708
58.157,4.2798
60.01,4.2876
61.889,4.2945
63.796,4.3012
65.729,4.3074
67.69,4.313
69.677,4.3182
71.69,4.3228
73.731,4.3277
75.797,4.3321
77.89,4.3361
80.008,4.3399
82.153,4.3436
84.323,4.3474
86.519,4.351
88.741,4.3543
90.988,4.3576
93.26,4.3606
95.557,4.3636
97.879,4.3663
100.23,4.3689
102.6,4.3715
104.99,4.3739
107.42,4.3768
109.86,4.3797
112.33,4.3828
114.82,4.3861
117.34,4.3893
119.88,4.3928
122.44,4.396
125.03,4.3994
127.64,4.4026
130.27,4.4057
132.93,4.4086
135.61,4.4113
138.31,4.4141
141.03,4.4166
143.78,4.4192
146.55,4.4217
149.34,4.4241
152.15,4.4266
154.98,4.4289
157.83,4.4313
160.71,4.4336
163.61,4.436
166.52,4.4384
169.46,4.4409
172.42,4.4434
175.4,4.4459
178.39,4.4484
181.41,4.4507
184.45,4.453
187.51,4.4551
190.58,4.4571
193.68,4.4589
196.79,4.4607
199.93,4.4624
203.08,4.4641
206.25,4.4657
209.44,4.467
212.64,4.4682
215.87,4.4692
219.11,4.47
222.37,4.4707
225.64,4.4713
228.94,4.4718
232.25,4.4724
235.57,4.4731
238.91,4.474
242.27,4.4751
245.65,4.4765
249.04,4.4781
252.44,4.4799
255.87,4.4819
259.3,4.4839
262.75,4.486
266.22,4.4881
269.7,4.4902
273.19,4.4922
276.7,4.4942
280.22,4.4961
283.76,4.498
287.31,4.4999
290.87,4.5019
294.44,4.5037
298.03,4.5056
301.63,4.5074
305.25,4.5092
308.87,4.511
312.51,4.5126
316.15,4.5142
319.81,4.5155
323.48,4.5167
327.17,4.5177
330.86,4.5188
334.56,4.5196
338.27,4.5207
342,4.5217
345.73,4.5228
349.47,4.5239
353.22,4.5252
356.98,4.5265
360.75,4.528
364.53,4.5298
368.32,4.5317
372.11,4.534
375.91,4.5362
379.72,4.539
383.54,4.5415
387.37,4.5445
391.2,4.5472
395.04,4.5504
398.88,4.5533
402.73,4.5565
406.59,4.5595
410.45,4.5626
414.32,4.5656
418.19,4.5686
422.07,4.5716
425.96,4.5743
429.84,4.5773
433.74,4.5799
437.63,4.583
441.53,4.5857
445.44,4.5891
449.35,4.5921
453.26,4.5959
