X,Y
0.62196,3.1905
2.328,3.5509
4.0641,3.914
5.8299,4.2724
7.6255,4.6214
9.4507,4.9557
11.305,5.2723
13.189,5.5697
15.103,5.8475
17.045,6.1068
19.017,6.3475
21.017,6.5739
23.046,6.7826
25.104,6.9753
27.191,7.154
29.305,7.3211
31.449,7.4779
33.62,7.6262
35.819,7.7667
38.046,7.9006
40.301,8.0282
42.583,8.1505
44.893,8.2676
47.23,8.3805
49.595,8.489
51.986,8.5941
54.404,8.6954
56.849,8.794
59.321,8.8893
61.819,8.9823
64.343,9.0724
66.893,9.1605
69.47,9.2461
72.072,9.3299
74.7,9.4115
77.353,9.4917
80.031,9.5699
82.735,9.6469
85.464,9.7222
88.217,9.7965
90.995,9.8692
93.798,9.9412
96.625,10.012
99.476,10.082
102.35,10.151
105.25,10.219
108.17,10.286
111.12,10.352
114.09,10.418
117.08,10.483
120.09,10.547
123.13,10.611
126.19,10.674
129.27,10.736
132.38,10.798
135.5,10.859
138.65,10.92
141.82,10.981
145.01,11.041
148.22,11.1
151.46,11.159
154.71,11.218
157.98,11.276
161.28,11.333
164.59,11.39
167.93,11.447
171.28,11.503
174.66,11.559
178.05,11.614
181.46,11.669
184.89,11.724
188.34,11.778
191.81,11.832
195.3,11.886
198.8,11.939
202.32,11.992
205.86,12.045
209.42,12.097
213,12.149
216.59,12.201
220.2,12.252
223.82,12.303
227.46,12.354
231.12,12.404
234.79,12.454
238.48,12.503
242.18,12.551
245.9,12.6
249.64,12.647
253.39,12.694
257.15,12.741
260.93,12.787
264.72,12.833
268.52,12.879
272.34,12.924
276.17,12.968
280.02,13.012
283.87,13.056
287.74,13.1
291.63,13.143
295.52,13.186
299.43,13.228
303.35,13.27
307.28,13.312
311.22,13.353
315.17,13.394
319.13,13.435
323.1,13.475
327.08,13.515
331.08,13.554
335.08,13.593
339.09,13.632
343.11,13.67
347.14,13.707
351.18,13.743
355.23,13.779
359.28,13.815
363.34,13.849
367.41,13.884
371.49,13.917
375.58,13.949
379.67,13.981
383.77,14.012
387.87,14.042
391.99,14.071
396.1,14.1
400.22,14.127
404.35,14.154
408.49,14.18
412.62,14.205
416.77,14.229
420.91,14.251
425.07,14.273
429.22,14.294
433.38,14.314
437.54,14.332
441.71,14.349
445.88,14.365
450.05,14.38
454.22,14.393
