X,Y
0.32744,2.9954
2.0336,3.3337
3.7696,3.6745
5.5355,4.011
7.3311,4.3386
9.1564,4.6525
11.011,4.9497
12.895,5.2289
14.809,5.4898
16.751,5.7332
18.723,5.9592
20.723,6.1718
22.752,6.3677
24.81,6.5486
26.897,6.7163
29.012,6.8732
31.155,7.0204
33.326,7.1597
35.525,7.2915
37.752,7.4173
40.007,7.537
42.29,7.6519
44.6,7.7618
46.937,7.8678
49.301,7.9697
51.693,8.0683
54.111,8.1635
56.556,8.256
59.028,8.3455
61.526,8.4328
64.05,8.5174
66.6,8.6001
69.177,8.6804
71.779,8.7591
74.407,8.8357
77.06,8.911
79.739,8.9844
82.442,9.0567
85.171,9.1274
87.925,9.1971
90.703,9.2655
93.505,9.333
96.332,9.3993
99.183,9.4651
102.06,9.5297
104.96,9.5937
107.88,9.6567
110.83,9.7191
113.79,9.7806
116.79,9.8417
119.8,9.9018
122.84,9.9616
125.9,10.021
128.98,10.079
132.09,10.137
135.21,10.195
138.36,10.252
141.53,10.309
144.72,10.365
147.93,10.421
151.17,10.476
154.42,10.531
157.69,10.586
160.99,10.64
164.3,10.693
167.64,10.747
170.99,10.799
174.37,10.852
177.76,10.904
181.17,10.956
184.6,11.007
188.05,11.058
191.52,11.108
195.01,11.159
198.51,11.209
202.03,11.259
205.57,11.308
209.13,11.357
212.71,11.406
216.3,11.455
219.91,11.503
223.53,11.551
227.17,11.598
230.83,11.645
234.5,11.692
238.19,11.738
241.9,11.783
245.61,11.829
249.35,11.873
253.1,11.918
256.86,11.962
260.64,12.005
264.43,12.048
268.23,12.091
272.05,12.133
275.88,12.175
279.73,12.216
283.59,12.257
287.46,12.298
291.34,12.339
295.23,12.379
299.14,12.419
303.06,12.458
306.99,12.498
310.93,12.536
314.88,12.575
318.84,12.613
322.82,12.651
326.8,12.688
330.79,12.725
334.79,12.762
338.8,12.798
342.83,12.833
346.86,12.868
350.89,12.903
354.94,12.936
359,12.97
363.06,13.002
367.13,13.034
371.21,13.065
375.29,13.096
379.38,13.125
383.48,13.155
387.59,13.183
391.7,13.211
395.82,13.237
399.94,13.263
404.07,13.288
408.2,13.313
412.34,13.336
416.48,13.358
420.63,13.379
424.78,13.4
428.94,13.419
433.1,13.438
437.26,13.455
441.42,13.472
445.59,13.486
449.76,13.5
453.94,13.512
